algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.208800,9545,8
QuickSort,random,1000,0.060400,16942,6
QuickSelect,random,1000,0.013800,4448,1
MergeSort,sorted,1000,0.034200,4236,8
QuickSort,sorted,1000,0.035600,17801,6
QuickSelect,sorted,1000,0.003300,3194,1
MergeSort,duplicates,1000,0.021400,9177,8
QuickSort,duplicates,1000,0.012800,7046,2
QuickSelect,duplicates,1000,0.015600,4767,1
MergeSort,random,10000,0.514500,127195,11
QuickSort,random,10000,0.632700,254632,8
QuickSelect,random,10000,0.100700,45301,1
MergeSort,sorted,10000,0.112700,59248,11
QuickSort,sorted,10000,0.377500,254207,8
QuickSelect,sorted,10000,0.088300,57136,1
MergeSort,duplicates,10000,0.289500,121450,11
QuickSort,duplicates,10000,0.106400,56361,2
QuickSelect,duplicates,10000,0.109600,21954,1
MergeSort,random,100000,6.439600,1639435,14
QuickSort,random,100000,7.857500,3164827,10
QuickSelect,random,100000,0.945000,493545,1
MergeSort,sorted,100000,1.419500,744016,14
QuickSort,sorted,100000,3.857500,3024264,10
QuickSelect,sorted,100000,0.191100,353754,1
MergeSort,duplicates,100000,3.317900,1561658,14
QuickSort,duplicates,100000,1.060600,509317,2
QuickSelect,duplicates,100000,0.899200,410617,1
MergeSort,random,1000000,78.767200,19890183,18
QuickSort,random,1000000,88.907900,41239197,12
QuickSelect,random,1000000,9.512200,4166080,1
MergeSort,sorted,1000000,18.172700,9071040,18
QuickSort,sorted,1000000,45.620900,39320436,14
QuickSelect,sorted,1000000,4.288300,7713788,1
MergeSort,duplicates,1000000,40.172300,18921497,18
QuickSort,duplicates,1000000,10.656300,6701360,2
QuickSelect,duplicates,1000000,8.884200,3701505,1
